series_id,state_id,store_id,dept_id,cat_id
CA_1_FOODS_1,CA,CA_1,FOODS_1,FOODS
CA_1_FOODS_2,CA,CA_1,FOODS_2,FOODS
CA_1_FOODS_3,CA,CA_1,FOODS_3,FOODS
CA_1_HOBBIES_1,CA,CA_1,HOBBIES_1,HOBBIES
CA_1_HOBBIES_2,CA,CA_1,HOBBIES_2,HOBBIES
CA_1_HOUSEHOLD_1,CA,CA_1,HOUSEHOLD_1,HOUSEHOLD
CA_1_HOUSEHOLD_2,CA,CA_1,HOUSEHOLD_2,HOUSEHOLD
CA_2_FOODS_1,CA,CA_2,FOODS_1,FOODS
CA_2_FOODS_2,CA,CA_2,FOODS_2,FOODS
CA_2_FOODS_3,CA,CA_2,FOODS_3,FOODS
CA_2_HOBBIES_1,CA,CA_2,HOBBIES_1,HOBBIES
CA_2_HOBBIES_2,CA,CA_2,HOBBIES_2,HOBBIES
CA_2_HOUSEHOLD_1,CA,CA_2,HOUSEHOLD_1,HOUSEHOLD
CA_2_HOUSEHOLD_2,CA,CA_2,HOUSEHOLD_2,HOUSEHOLD
CA_3_FOODS_1,CA,CA_3,FOODS_1,FOODS
CA_3_FOODS_2,CA,CA_3,FOODS_2,FOODS
CA_3_FOODS_3,CA,CA_3,FOODS_3,FOODS
CA_3_HOBBIES_1,CA,CA_3,HOBBIES_1,HOBBIES
CA_3_HOBBIES_2,CA,CA_3,HOBBIES_2,HOBBIES
CA_3_HOUSEHOLD_1,CA,CA_3,HOUSEHOLD_1,HOUSEHOLD
CA_3_HOUSEHOLD_2,CA,CA_3,HOUSEHOLD_2,HOUSEHOLD
CA_4_FOODS_1,CA,CA_4,FOODS_1,FOODS
CA_4_FOODS_2,CA,CA_4,FOODS_2,FOODS
CA_4_FOODS_3,CA,CA_4,FOODS_3,FOODS
CA_4_HOBBIES_1,CA,CA_4,HOBBIES_1,HOBBIES
CA_4_HOBBIES_2,CA,CA_4,HOBBIES_2,HOBBIES
CA_4_HOUSEHOLD_1,CA,CA_4,HOUSEHOLD_1,HOUSEHOLD
CA_4_HOUSEHOLD_2,CA,CA_4,HOUSEHOLD_2,HOUSEHOLD
TX_1_FOODS_1,TX,TX_1,FOODS_1,FOODS
TX_1_FOODS_2,TX,TX_1,FOODS_2,FOODS
TX_1_FOODS_3,TX,TX_1,FOODS_3,FOODS
TX_1_HOBBIES_1,TX,TX_1,HOBBIES_1,HOBBIES
TX_1_HOBBIES_2,TX,TX_1,HOBBIES_2,HOBBIES
TX_1_HOUSEHOLD_1,TX,TX_1,HOUSEHOLD_1,HOUSEHOLD
TX_1_HOUSEHOLD_2,TX,TX_1,HOUSEHOLD_2,HOUSEHOLD
TX_2_FOODS_1,TX,TX_2,FOODS_1,FOODS
TX_2_FOODS_2,TX,TX_2,FOODS_2,FOODS
TX_2_FOODS_3,TX,TX_2,FOODS_3,FOODS
TX_2_HOBBIES_1,TX,TX_2,HOBBIES_1,HOBBIES
TX_2_HOBBIES_2,TX,TX_2,HOBBIES_2,HOBBIES
TX_2_HOUSEHOLD_1,TX,TX_2,HOUSEHOLD_1,HOUSEHOLD
TX_2_HOUSEHOLD_2,TX,TX_2,HOUSEHOLD_2,HOUSEHOLD
TX_3_FOODS_1,TX,TX_3,FOODS_1,FOODS
TX_3_FOODS_2,TX,TX_3,FOODS_2,FOODS
TX_3_FOODS_3,TX,TX_3,FOODS_3,FOODS
TX_3_HOBBIES_1,TX,TX_3,HOBBIES_1,HOBBIES
TX_3_HOBBIES_2,TX,TX_3,HOBBIES_2,HOBBIES
TX_3_HOUSEHOLD_1,TX,TX_3,HOUSEHOLD_1,HOUSEHOLD
TX_3_HOUSEHOLD_2,TX,TX_3,HOUSEHOLD_2,HOUSEHOLD
WI_1_FOODS_1,WI,WI_1,FOODS_1,FOODS
WI_1_FOODS_2,WI,WI_1,FOODS_2,FOODS
WI_1_FOODS_3,WI,WI_1,FOODS_3,FOODS
WI_1_HOBBIES_1,WI,WI_1,HOBBIES_1,HOBBIES
WI_1_HOBBIES_2,WI,WI_1,HOBBIES_2,HOBBIES
WI_1_HOUSEHOLD_1,WI,WI_1,HOUSEHOLD_1,HOUSEHOLD
WI_1_HOUSEHOLD_2,WI,WI_1,HOUSEHOLD_2,HOUSEHOLD
WI_2_FOODS_1,WI,WI_2,FOODS_1,FOODS
WI_2_FOODS_2,WI,WI_2,FOODS_2,FOODS
WI_2_FOODS_3,WI,WI_2,FOODS_3,FOODS
WI_2_HOBBIES_1,WI,WI_2,HOBBIES_1,HOBBIES
WI_2_HOBBIES_2,WI,WI_2,HOBBIES_2,HOBBIES
WI_2_HOUSEHOLD_1,WI,WI_2,HOUSEHOLD_1,HOUSEHOLD
WI_2_HOUSEHOLD_2,WI,WI_2,HOUSEHOLD_2,HOUSEHOLD
WI_3_FOODS_1,WI,WI_3,FOODS_1,FOODS
WI_3_FOODS_2,WI,WI_3,FOODS_2,FOODS
WI_3_FOODS_3,WI,WI_3,FOODS_3,FOODS
WI_3_HOBBIES_1,WI,WI_3,HOBBIES_1,HOBBIES
WI_3_HOBBIES_2,WI,WI_3,HOBBIES_2,HOBBIES
WI_3_HOUSEHOLD_1,WI,WI_3,HOUSEHOLD_1,HOUSEHOLD
WI_3_HOUSEHOLD_2,WI,WI_3,HOUSEHOLD_2,HOUSEHOLD
