kind,name,seq_len,lr,epochs,best_val_mae_norm,seconds,mlp_hidden,mlp_dropout,mlp_emb_dim,model,MAE,RMSE,sMAPE_pct,WAPE_pct,d_model,n_heads,n_layers,dropout
mlp_revin,mlp_g,84,0.0007,5,0.49522439762949944,49.43,"(384, 192)",0.15,24.0,mlp_revin,53.192791899126405,92.46221393605275,12.659152856039693,8.8365623936917,,,,
mlp_revin,mlp_b,56,0.001,5,0.5298252552747726,43.53,"(256, 128)",0.1,16.0,mlp_revin,53.43901220219476,93.1140067764374,12.773924044705998,8.877465324201218,,,,
mlp_revin,mlp_a,56,0.001,5,0.5324941389262676,25.18,"(128, 64)",0.1,8.0,mlp_revin,53.64318512483519,93.52082826296457,12.862028992992508,8.911383204906484,,,,
mlp_revin,mlp_c,56,0.0005,5,0.5308012515306473,50.28,"(256, 128)",0.05,16.0,mlp_revin,53.73644839476566,93.45893050298075,12.821663971541472,8.926876407544599,,,,
mlp_revin,mlp_d,84,0.001,5,0.5009078457951546,60.61,"(256, 128)",0.1,16.0,mlp_revin,54.00460517211836,92.96192433120733,12.76976882897696,8.971423497662787,,,,
mlp_revin,mlp_e,84,0.0005,5,0.5033974535763264,53.59,"(256, 128, 64)",0.1,16.0,mlp_revin,54.21045771958877,93.62671087937966,12.818648529120669,9.005620403196007,,,,
mlp_revin,mlp_f,112,0.0005,5,0.47460487857460976,51.25,"(256, 128)",0.1,16.0,mlp_revin,54.302775100542576,94.67107969351511,12.843439775474492,9.020956471631134,,,,
mlp_revin,mlp_h,56,0.0007,5,0.5328930728137493,52.97,"(256, 128, 64)",0.2,16.0,mlp_revin,54.32403317373626,94.83973687739032,12.81305179318371,9.024487933008494,,,,
transformer_revin,tf_e,56,0.0007,5,0.5481123253703117,88.31,,,,transformer_revin,58.00705577743297,101.90579928101218,13.112812801706955,9.636323820409572,96.0,4.0,2.0,0.15
transformer_revin,tf_d,84,0.0005,5,0.5310313180088997,125.88,,,,transformer_revin,59.4707570010302,104.20111062235067,13.420559611068875,9.879478705239977,64.0,4.0,3.0,0.15
transformer_revin,tf_b,56,0.0005,5,0.5569771751761436,45.99,,,,transformer_revin,59.729165716803806,103.54799423954977,13.271214475886921,9.922406415151078,64.0,4.0,2.0,0.1
transformer_revin,tf_c,84,0.0005,5,0.53266791254282,96.93,,,,transformer_revin,60.13321286026312,105.31902618241293,13.443920823370748,9.989528062007704,64.0,4.0,2.0,0.1
transformer_revin,tf_f,112,0.0005,5,0.502902377396822,120.17,,,,transformer_revin,60.14913580612261,107.07875412106637,13.459067739512399,9.992173234399585,64.0,4.0,2.0,0.15
transformer_revin,tf_a,56,0.001,5,0.56151482462883,41.43,,,,transformer_revin,60.46530286195327,107.4195189959117,13.328432866785258,10.044695950653615,48.0,4.0,2.0,0.1
